candidate_id,title,production_score,production_score_norm,behavior_score,final_score,jd_score_norm,production_evidence_norm,semantic_score,final_score_v2,professional_score_norm,role_score,final_score_v3
CAND_0000001,Backend Engineer,0,0.0,0.4454943240454076,0.08909886480908152,0.0,0.21052631578947367,0.43511006,0.3933085915518988,0.2631578947368421,0.6666666666666666,0.4345572569467704
CAND_0000002,Operations Manager,1,0.08333333333333333,0.284468008255934,0.12356026831785347,0.08333333333333333,0.10526315789473684,0.59392834,0.40335720260431157,0.3684210526315789,0.0,0.30737434144785286
CAND_0000003,Customer Support,0,0.0,0.399968008255934,0.0799936016511868,0.0,0.0,0.5158233,0.37790205480336403,0.21052631578947367,0.0,0.25211389588192645
CAND_0000004,Marketing Manager,1,0.08333333333333333,0.19196800825593396,0.10506026831785346,0.08333333333333333,0.10526315789473684,0.50286424,0.33007515485574584,0.3684210526315789,0.0,0.2662519199447858
CAND_0000005,Accountant,0,0.0,0.33321800825593395,0.0666436016511868,0.0,0.05263157894736842,0.44499838,0.3329909100272707,0.3157894736842105,0.0,0.2443343840123453
CAND_0000006,Business Analyst,0,0.0,0.21721800825593396,0.0434436016511868,0.0,0.05263157894736842,0.52438974,0.33788659016871964,0.3157894736842105,0.6666666666666666,0.42718803571872294
CAND_0000007,Civil Engineer,0,0.0,0.3359680082559339,0.06719360165118679,0.0,0.10526315789473684,0.5405004,0.3920932352810083,0.3684210526315789,0.0,0.29382457624246955
CAND_0000008,Operations Manager,0,0.0,0.34696800825593394,0.06939360165118678,0.0,0.05263157894736842,0.55999255,0.3946129941680483,0.3157894736842105,0.0,0.2859573458911219
CAND_0000009,Mechanical Engineer,0,0.0,0.41721800825593397,0.1084436016511868,0.08333333333333333,0.15789473684210525,0.538198,0.4258433469612901,0.42105263157894735,0.6666666666666666,0.4835998617959834
CAND_0000010,Data Engineer,1,0.08333333333333333,0.31627812177502584,0.10492229102167183,0.0,0.2631578947368421,0.46737272,0.3812013732164637,0.3684210526315789,0.6666666666666666,0.45661176838481143
CAND_0000011,QA Engineer,0,0.0,0.35258333333333336,0.07051666666666667,0.0,0.2631578947368421,0.510943,0.41387807672149257,0.3157894736842105,0.6666666666666666,0.4675971477445803
CAND_0000012,Operations Manager,0,0.0,0.17671800825593395,0.035343601651186794,0.0,0.05263157894736842,0.4613281,0.2942057628848604,0.3157894736842105,0.0,0.23439978399289035
CAND_0000013,Civil Engineer,0,0.0,0.2867389060887513,0.05734778121775026,0.0,0.10526315789473684,0.5821553,0.3981519470384616,0.3157894736842105,0.0,0.2955861358887394
CAND_0000014,Frontend Engineer,0,0.0,0.403968008255934,0.0807936016511868,0.0,0.2631578947368421,0.5223238,0.43498387503033453,0.2631578947368421,0.6666666666666666,0.4688241524969461
CAND_0000015,Software Engineer,0,0.0,0.32096800825593397,0.0891936016511868,0.08333333333333333,0.3157894736842105,0.4922549,0.4055757536402428,0.3684210526315789,0.6666666666666666,0.473684268918495
CAND_0000016,Accountant,0,0.0,0.44052244582043343,0.11310448916408669,0.08333333333333333,0.2631578947368421,0.44788074,0.40872868516053945,0.47368421052631576,0.0,0.311336824078678
CAND_0000017,Accountant,0,0.0,0.21246800825593395,0.06749360165118679,0.08333333333333333,0.15789473684210525,0.5692557,0.3799472046692674,0.42105263157894735,0.0,0.3073283985051331
CAND_0000018,Frontend Engineer,0,0.0,0.368968008255934,0.0737936016511868,0.0,0.21052631578947367,0.5297869,0.4176891080270242,0.2631578947368421,0.6666666666666666,0.46004149980515513
CAND_0000019,Project Manager,0,0.0,0.19396800825593397,0.038793601651186796,0.0,0.05263157894736842,0.5509428,0.3441881075599245,0.3157894736842105,0.6666666666666666,0.4341565919321019
CAND_0000020,Mechanical Engineer,1,0.08333333333333333,0.39071800825593395,0.14481026831785346,0.08333333333333333,0.10526315789473684,0.54600894,0.41127250631143436,0.3684210526315789,0.6666666666666666,0.46789422965020216
CAND_0000021,Project Manager,0,0.0,0.31635474716202266,0.06327094943240454,0.0,0.47368421052631576,0.59193766,0.4856120968393497,0.15789473684210525,0.6666666666666666,0.5002171589375034
CAND_0000022,Mechanical Engineer,1,0.08333333333333333,0.221218008255934,0.11091026831785347,0.08333333333333333,0.05263157894736842,0.5234017,0.33859255707049885,0.2631578947368421,0.6666666666666666,0.4193474727276309
